Retsku	Product Title	Detailed Description	Categorization	Product URL	Primary Image URL	Alternate Image URL	Selling Price	Regular Price	Condition	Manufacturer Name	Manufacturer Part Number	Availability	Gender	Bid Type	Bid Amount
R25802A	14K Yellow Gold Womens Five Stone Diamond Anniversary Ring 0.13 Ctw	"This 14K Yellow Gold Diamond Anniversary Ring is shinning with beauty and elegance. Five prong setting features five sparkling round cut diamonds totaling to 0.13 carats giving it a classic appearance. It can be worn as a wedding band, anniversary ring or simply as a fashion ring."	Jewelry & Watches > Fine Jewelry > Rings	http://www.avianneandco.com/14k-yellow-gold-womens-five-stone-diamond-anniversary-ring-0-13-ctw.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/2/r25802-2_1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/r/2/r25802-1_1.jpg	230	895	New	Avianne & Co	R25802A	Yes	women	Absolute	0.25
ADER3351	14K Yellow Gold Initial Letter Diamond Stud Earrings 0.07 Ctw	These lovely diamond small stud earrings are handcrafted in lustrous 14k yellow gold. The letter 'A' is outlined with small  round cut diamonds and they both carry a total of 0.07 carat diamonds. The small frames measures to 3/16 inches in length and width and weigh 0.7 grams. These tiny earrings securely lock with screw back closures.	Jewelry & Watches > Fine Jewelry > Earrings	http://www.avianneandco.com/14k-yellow-gold-initial-letter-diamond-stud-earrings-0-07-ctw.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/d/ader3351-1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/a/d/ader3351-2.jpg	123	298	New	Avianne & Co	ADER3351	Yes	men	Absolute	0.25
ADTR2407F	10K Yellow Gold Womens Diamond Wedding Band 0.05 Ctw	This elegant and affordable womens diamond wedding band is handcrafted in lustrous 10k yellow gold. Small round cut diamonds are micro set half way around the band and total to 0.05 carats. The band measures to 3.6 mm in width and weighs 2.1 grams.	Jewelry & Watches > Engagement & Wedding > Wedding/Bridal Bands	http://www.avianneandco.com/10k-yellow-gold-womens-diamond-wedding-band-0-04-ctw-11487.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/d/adtr2407f-1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/a/d/adtr2407f-3.jpg	202	423	New	Avianne & Co	ADTR2407F	Yes	women	Absolute	0.25
P125765	10K Yellow Solid Gold Womens Diamond Cross Pendant 0.29 Ctw	"This lovely womens diamond cross pendant is handcrafted in 10K yellow gold. The center is channel set with small round cut diamonds which total to 0.29 carats. The frame measures to 7/8 inches in length and 5/8 inches in width. Weighing approximately 1.3 grams, this small diamond cross pendant is an ideal accessory for an every day wear.  Note: This chain is for illustration purposes only and may be purchased separately."	Jewelry & Watches > Fine Jewelry > Necklaces & Pendants	http://www.avianneandco.com/10k-yellow-gold-womens-diamond-cross-pendant-0-29-ctw.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/1/p125765-1_2.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/p/1/p125765-2.jpg	271	750	New	Avianne & Co	P125765	Yes	women	Absolute	0.25
P26999A	14K Yellow Gold Mens Diamond Small Jesus Head Pendant 2.50 Ctw	"This exquisite mens diamond Jesus head pendant is handcrafted in lustrous 14k yellow gold. The pendant is set with brilliant clean round cut diamonds which total to 2.50 carats. The frame measures to 2 inches in length and 1 1/8 inches in width. Weighing 26.5 grams, this Jesus Head pendant is an ideal accessory for an every day wear. Note: This chain is for illustration purposes only and may be purchased under CH27198 or CH126829YL."	Jewelry & Watches > Fine Jewelry > Necklaces & Pendants	http://www.avianneandco.com/14k-yellow-gold-mens-diamond-small-jesus-head-pendant-2-50-ctw-14828.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/2/p26999aa-2_2_1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/p/2/p26999-5_1_1.jpg	5839	17500	New	Avianne & Co	P26999A	Yes	men	Absolute	0.25
R126407	18K White Solid Gold Womens Diamond Eternity Band 4.18 Ctw	"This glamorous womens eternity band is handcrafted in lustrous 18K white gold. The frame is detailed with brilliant round, princess and emerald cut diamonds which total to 4.18 carats. The frame measures to 1/4 inches in width and weighs 6.3 grams. Gleaming in absolute beauty, this ring is an ideal gift for that special someone."	Jewelry & Watches > Engagement & Wedding > Wedding/Bridal Bands	http://www.avianneandco.com/18k-white-gold-womens-diamond-eternity-band-4-18-ctw.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/1/r126407-1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/r/1/r126407-1.jpg	5260	15000	New	Avianne & Co	R126407	Yes	women	Absolute	0.25
R27013	14K White Solid Gold Clarity Enhanced Diamond Solitaire Engagement Ring 1.30 Ctw	This elegant clarity enhanced diamond engagement ring is crafted in 14K White Gold. The center is prong set with one large clarity enhanced diamond which is G/H in color and SI in clarity. The prong measures to 1/4 Inches in width and the frame weighs approximately 2.7 grams. This one of a kind womens engagement ring is an ideal gift for that special someone.	Jewelry & Watches > Engagement & Wedding > Engagement Rings	http://www.avianneandco.com/14k-white-gold-clarity-enhanced-diamond-engagement-ring-1-30-ctw.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/2/r27013-1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/R/2/R27013-2.jpg	5259	15000	New	Avianne & Co	R27013	Yes	women	Absolute	0.25
CH126326VI3	10K White Gold Mens Diamond Tennis Chain 7.10 Ctw	"This glamorous mens chain is handcrafted in lustrous 10K white gold. The chain is set with small round cut diamonds which are placed on an illusion setting. The frame measures to 30 inches in length and 1/4 inches in width. Weighing 28 grams, this chain is an ideal accessory for an every day casual or glamorous wear."	Jewelry & Watches > Fine Jewelry > Necklaces & Pendants	http://www.avianneandco.com/10k-white-gold-mens-diamond-tennis-chain-7-10-ctw.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/h/ch126326-3_1_1_1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/c/h/ch126326-2_1_1_1.jpg	4590	15200	New	Avianne & Co	CH126326VI3	Yes	men	Absolute	0.25
SDR3494	14K White Solid Gold Diamond Wedding Band Set 4.05 Ctw	"This glamorous diamond wedding ring set is crafted in lustrous 14K White Gold. The engagement ring and womens wedding band are both adorned with small princess cut diamonds. The mens matching wedding band is also adorned with small princess cut diamonds and measures to approximately 3/16 Inches in width. Detailed to absolute perfection, this elegant diamond wedding three  ring set weighs approximately 13.5 grams."	Jewelry & Watches > Engagement & Wedding > Wedding/Bridal Bands	http://www.avianneandco.com/14k-white-gold-diamond-wedding-ring-set-4-05-ctw.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/S/D/SDR3494-5.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/S/D/SDR3494-1.jpg	4385	12500	New	Avianne & Co	SDR3494	Yes	Unisex	Absolute	0.25
CH125639aa	"14K Yellow Solid Gold Mens Franco Chain 38"" 4 mm"	"This elegant mens franco chain is handcrafted in 14K yellow gold. The frame measures to 38 inches in length and 3/16 inches in width. Weighing approximately 73.7 grams, this mens chain securely locks with a durable lobster claw clasp closure."	Jewelry & Watches > Fine Jewelry > Necklaces & Pendants	http://www.avianneandco.com/14k-yellow-gold-mens-franco-chain-38-4-mm-6594.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/h/ch125639-4.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/c/h/ch125639-3.jpg	4201	15845	New	Avianne & Co	CH125639aa	Yes	men	Absolute	0.25
R2202A	14K Yellow Gold Diamond Engagement Ring 1.37 Ctw	This lovely diamond engagement ring is handcrafted in 14k yellow gold. The center is prong set with one champagne colored round cut diamond which weighs 1.12 carats. The center stone is surrounded with additional small round cut white diamonds which total to 0.25 carats. The frame measures to 7 mm in width and weighs 2.5 grams.	Jewelry & Watches > Engagement & Wedding > Engagement Rings	http://www.avianneandco.com/14k-yellow-gold-diamond-engagement-ring-1-37-ctw.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/2/r2202a-3.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/r/2/r2202a-3.jpg	4169	12500	New	Avianne & Co	R2202A	Yes	women	Absolute	0.25
RM151A	14K White Solid Gold Mens Diamond Pinky Ring 4.49 Ctw	"This 14K White Gold Mens Diamond Pinky Ring is beautifully designed to the last detail. The center piece is invisibly set with numerous small princess cut diamonds and is held with beautiful designs which are pave set with small round cut diamonds. These designs are bezel set with two round cut diamonds. Exquisite in appearance, this mens pinky ring portrays beauty and style."	Jewelry & Watches > Fine Jewelry > Rings	http://www.avianneandco.com/14k-white-gold-mens-diamond-pinky-ring-4-49-ctw.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/m/rm151a-1_1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/r/m/rm151a-2.jpg	4036	11500	New	Avianne & Co	RM151A	Yes	men	Absolute	0.25
22273	14K White Gold Diamond Cross Pendant 2.51 Ctw	"This glamorous diamond cross pendant is handcrafted in 14k white gold. Twelve brilliant round cut diamonds are prong set across the pendant and total to 2.51 carats. The frame measures to 1 1/4 inches in length and 13/16 inches in width. Weighing 4 grams, this pendant is an ideal accessory for him or her. Note: This chain is for illustration purposes only and may be purchased separately."	Jewelry & Watches > Fine Jewelry > Necklaces & Pendants	http://www.avianneandco.com/14k-white-gold-diamond-cross-pendant-2-51-ctw.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/22273-1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/2/2/22273-1.jpg	3589	10750	New	Avianne & Co	22273	Yes	men	Absolute	0.25
R25689	18K Yellow Solid Gold Mens Diamond Pinky Ring 1.92 Ctw	This exquisite mens diamond pinky ring is crafted in lustrous 18K yellow gold. The center is bezel set with one emerald cut diamond which totals to 0.53 carats and its surrounded by additional baguette cut diamonds which total to 1.39 carats. The center measures to 16 mm in width and the band weighs 14 grams.	Jewelry & Watches > Fine Jewelry > Rings	http://www.avianneandco.com/18k-yellow-gold-mens-diamond-pinky-ring-1-92-ctw.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/2/r25689-1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/r/2/r25689-3.jpg	3516	10000	New	Avianne & Co	R25689	Yes	men	Absolute	0.25
14636	18K White Solid Gold Womens Pink Diamond Ring 1.11 Ctw	This exquisite womens diamond ring is crafted in highly polished 18K white gold. The band features two rows of brilliant channel set natural pink round cut diamonds. Another three rows are pave set with white round cut diamonds. These stones are VS1/VS2 in clarity and weigh a total of 1.11 ct.	Jewelry & Watches > Fine Jewelry > Rings	http://www.avianneandco.com/18k-white-gold-womens-diamond-ring-1-11-ctw.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/4/14636-1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/1/4/14636_1_1.JPG	3421	9750	New	Avianne & Co	14636	Yes	women	Absolute	0.25
CrossRing	14K White Solid Gold Mens Custom Diamond Ring with Black Diamonds	This finely detailed mens custom diamond ring is crafted in highly gleaming 14K White Gold. The center is adorned with numerous small princess cut black diamonds and the cross is outlined with exquisite small white princess cut diamonds. All these diamonds are invisibly set on the wide frame. For additional information please dial our toll free phone number to speak to our sales representative.	Jewelry & Watches > Fine Jewelry > Rings	http://www.avianneandco.com/14k-white-gold-mens-custom-made-diamond-ring-3181.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/C/r/CrossRing.JPG		3400	10200	New	Avianne & Co	CrossRing	Yes	men	Absolute	0.25
R27146	14K White Gold Mens Diamond Wedding Band 1.25 Ctw	This large mens diamond wedding band is handcrafted in lustrous 14k white gold. Nine brilliant round cut diamonds are channel set half way around the band and total to 1.25 carats. The frame measures to 8.8 mm in width and weighs 24 grams.	Jewelry & Watches > Fine Jewelry > Rings	http://www.avianneandco.com/14k-white-gold-mens-diamond-wedding-band-1-25-ctw-14954.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/2/r27146-1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/r/2/r27146-2.jpg	3339	10000	New	Avianne & Co	R27146	Yes	men	Absolute	0.25
R126520	14K White Solid Gold Diamond Bridal Ring Set 1.40 Ctw	This elegant bridal ring set is handcrafted in lustrous 14K white gold. The engagement ring  measures to 8 mm in width and is detailed with small round cut diamonds and one center stone which weighs 0.49 carats. Two matching wedding bands are placed on opposite sides and measure to 1/8 inches in width. The side stones total to additional 0.91 carats. &nbsp;	Jewelry & Watches > Engagement & Wedding > Wedding/Bridal Bands	http://www.avianneandco.com/14k-white-gold-diamond-bridal-ring-set-0-91-ctw-8572.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/1/r126520a-1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/r/1/r126520-2a.jpg	2991	8500	New	Avianne & Co	R126520	Yes	Unisex	Absolute	0.25
R25388	14K White Solid Gold Diamond Solitaire Engagement Ring 1.02 Ctw	"This exquisite diamond solitaire engagement ring is prong set with one brilliant round cut 1.02 carat diamond. The frame is crafted in 14K white gold and weighs 2.5 grams. Measuring 7 mm in width, this lovely ring is an ideal gift for that special someone.&nbsp;"	Jewelry & Watches > Engagement & Wedding > Engagement Rings	http://www.avianneandco.com/14k-white-gold-diamond-solitaire-engagement-ring-1-02-ctw.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/2/r25388-1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/r/2/r25388-1.jpg	2986	8500	New	Avianne & Co	R25388	Yes	women	Absolute	0.25
ADFSP2120W	10K White Gold Mens Diamond Dog Tag Pendant 2.40 Ctw	"This glamorous diamond dog tag pendant is handcrafted in lustrous 10k white gold. The center and the bale are micro set with numerous small round cut diamonds which total to 2.40 carats. The frame measures to 2 inches in length and 15/16 inches in width. Weighing 9.2 grams, this pendant is an ideal accessory for an every day casual or special wear."	Jewelry & Watches > Fine Jewelry > Necklaces & Pendants	http://www.avianneandco.com/10k-white-gold-mens-diamond-dog-tag-pendant-2-40-ctw.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/d/adfsp2120w-1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/a/d/adfsp2120w-1.jpg	2948	5438	New	Avianne & Co	ADFSP2120W	Yes	men	Absolute	0.25
R26545	14K White Gold Diamond Engagement Ring 2.50 Ctw	"Gleaming in absolute perfection, this diamond engagement ring is handcrafted in 14k white gold. The center is invisibly set with four princess cut diamonds and surrounded with round cut diamonds. Both sides of the band are channel set half way with baguette cut diamonds and prong set with small round cut diamonds. The center measures to 10.6 mm in width and the band weighs 9.5 grams."	Jewelry & Watches > Engagement & Wedding > Engagement Rings	http://www.avianneandco.com/14k-white-gold-diamond-engagement-ring-2-50-ctw-12633.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/2/r26545-3.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/r/2/r26545-3.jpg	2849	8500	New	Avianne & Co	R26545	Yes	women	Absolute	0.25
R125575	14K White Solid Gold Mens Black Diamond Wedding Band 3.75 Ctw	"Exclusively designed by Avianne and Co, this one of a kind mens diamond wedding band is handcrafted in 14K white gold. The center is channel set with five brilliant round cut black diamonds which total to 3.75 carats. The frame measures to 7/16 inches in width and weighs approximately 23.2 grams. This large mens diamond wedding band is an ideal accessory for the one who appreciates uniqueness and originality."	Jewelry & Watches > Fine Jewelry > Rings	http://www.avianneandco.com/14k-white-gold-mens-black-diamond-wedding-band-3-75-ctw.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/1/r125575-1_1_1_1.jpeg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/r/1/r125575-2.jpg	2849	8500	New	Avianne & Co	R125575	Yes	men	Absolute	0.25
R11712	14K Yellow Solid Gold Mens Diamond Wedding Band 1.55 Ctw	This large mens diamond wedding band is crafted in 14K Yellow Gold. The center is channel set with five brilliant round cut diamonds which are VS in clarity and G/H in color. the frame measures to 3/8 Inches in width and weighs approximately 11.7 grams. This exquisite mens diamond wedding band gleams with beauty and sophistication.	Jewelry & Watches > Fine Jewelry > Rings	http://www.avianneandco.com/14k-yellow-gold-mens-diamond-wedding-band-1-55-ctw.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/1/r11712-1_3_1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/r/1/r11712-2.jpg	2635	7500	New	Avianne & Co	R11712	Yes	men	Absolute	0.25
R1043	Platinum Mens Diamond Wedding Band 0.37 Ctw	"Gleaming in absolute perfection, this masculine diamond wedding band is handcrafted in lustrous Platinum. Eight small round cut diamonds are channel set half way around the band and total to 0.37 carats. These diamonds are G in color and VS in clarity. The frame measures to 1/4 Inches in width and weighs approximately 10.4 grams. This elegant mens diamond wedding band is an ideal gift idea for that special occasion."	Jewelry & Watches > Fine Jewelry > Rings	http://www.avianneandco.com/platinum-mens-diamond-wedding-band-0-37-ctw.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/1/r1043-1_1_1.jpeg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/r/1/r1043-3.jpg	2510	7500	New	Avianne & Co	R1043	Yes	men	Absolute	0.25
